2015,	8,	56	
2010,	13,	57	
2005,	5,	66	
2000,	3,	64	
1995,	15,	64	
1990,	24,	66	
1985,	-2,	58	
1980,	17,	60	
1975,	15,	63	
1970,	3,	51	
1965,	9,	55	
1960,	17,	54	
1955,	13,	50	
1950,	16,	72	
1945,	2,	55	
1940,	7,	54	
1935,	-1,	58	
1930,	10,	64	
1925,	-2,	45	
1920,	-1,	51
1915,	12,	58		
1910,	5,	48		
1905,	4,	53		
1900,	10,	57	
